slug,title,description,difficulty,categories,companyTags,externalPlatformUrl
set-matrix-zeroes,Set Matrix Zeroes,"Given an m x n matrix, if an element is 0, set its entire row and column to 0",Medium,"Array,Matrix","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/set-matrix-zeroes/
pascals-triangle,Pascal's Triangle,Generate Pascal's triangle up to n rows,Easy,"Array,Dynamic Programming","Amazon,Microsoft,Google",https://leetcode.com/problems/pascals-triangle/
next-permutation,Next Permutation,Find the next lexicographically greater permutation of numbers,Medium,"Array,Two Pointers","Google,Amazon,Microsoft,Facebook",https://leetcode.com/problems/next-permutation/
maximum-subarray,Kadane's Algorithm (Maximum Subarray),Find the contiguous subarray with the largest sum,Medium,"Array,Dynamic Programming,Divide and Conquer","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/maximum-subarray/
sort-colors,Sort Colors (Dutch National Flag),"Sort an array of 0s, 1s and 2s in-place",Medium,"Array,Two Pointers,Sorting","Amazon,Microsoft,Facebook",https://leetcode.com/problems/sort-colors/
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Find maximum profit from buying and selling stock once,Easy,"Array,Dynamic Programming","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
rotate-image,Rotate Matrix by 90 degrees,Rotate the image/matrix by 90 degrees clockwise,Medium,"Array,Matrix,Math","Amazon,Microsoft,Apple,Facebook",https://leetcode.com/problems/rotate-image/
merge-intervals,Merge Overlapping Intervals,Merge all overlapping intervals,Medium,"Array,Sorting","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/merge-intervals/
merge-sorted-array,Merge Two Sorted Arrays Without Extra Space,Merge two sorted arrays in-place,Easy,"Array,Two Pointers,Sorting","Amazon,Microsoft,Facebook",https://leetcode.com/problems/merge-sorted-array/
find-the-duplicate-number,Find the Duplicate Number,Find the duplicate number in an array of n+1 integers,Medium,"Array,Two Pointers,Binary Search,Bit Manipulation","Amazon,Microsoft,Google",https://leetcode.com/problems/find-the-duplicate-number/
find-missing-and-repeating,Find Missing and Repeating Number,Find the missing and repeating number in an array,Medium,"Array,Hash Table,Math,Bit Manipulation","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/find-a-repeating-and-a-missing-number/
count-inversions,Count Inversions,Count number of inversions in an array using merge sort,Hard,"Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/counting-inversions/
search-a-2d-matrix,Search in a 2D Matrix,Search for a value in an m x n matrix,Medium,"Array,Binary Search,Matrix","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/search-a-2d-matrix/
powx-n,"Pow(x, n)","Implement pow(x, n), which calculates x raised to the power n",Medium,"Math,Recursion","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/powx-n/
majority-element,Majority Element (>n/2 times),Find the element that appears more than n/2 times,Easy,"Array,Hash Table,Divide and Conquer,Sorting,Counting","Amazon,Microsoft,Google,Adobe",https://leetcode.com/problems/majority-element/
majority-element-ii,Majority Element II (>n/3 times),Find all elements that appear more than n/3 times,Medium,"Array,Hash Table,Sorting,Counting","Amazon,Microsoft,Zenefits",https://leetcode.com/problems/majority-element-ii/
unique-paths,Grid Unique Paths,Find number of unique paths in a grid from top-left to bottom-right,Medium,"Math,Dynamic Programming,Combinatorics","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/unique-paths/
reverse-pairs,Reverse Pairs,Count number of reverse pairs where i < j and nums[i] > 2*nums[j],Hard,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort","Google,Amazon",https://leetcode.com/problems/reverse-pairs/
two-sum,2 Sum Problem,Find two numbers that add up to a target value,Easy,"Array,Hash Table","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/two-sum/
4sum,4 Sum Problem,Find all unique quadruplets that sum to target,Medium,"Array,Two Pointers,Sorting","Amazon,Microsoft,Facebook",https://leetcode.com/problems/4sum/
longest-consecutive-sequence,Longest Consecutive Sequence,Find length of the longest consecutive elements sequence,Medium,"Array,Hash Table,Union Find","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/longest-consecutive-sequence/
largest-subarray-with-0-sum,Largest Subarray with 0 Sum,Find the length of the largest subarray with sum 0,Easy,"Array,Hash Table","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/find-the-largest-subarray-with-0-sum/
count-subarrays-with-given-xor,Count Subarrays with Given XOR,Count number of subarrays having XOR of elements as k,Medium,"Array,Hash Table,Bit Manipulation,Prefix Sum","Amazon,Microsoft",https://www.interviewbit.com/problems/subarray-with-given-xor/
longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Find the length of the longest substring without repeating characters,Medium,"Hash Table,String,Sliding Window","Amazon,Microsoft,Google,Facebook,Adobe,Bloomberg",https://leetcode.com/problems/longest-substring-without-repeating-characters/
reverse-linked-list,Reverse a Linked List,Reverse a singly linked list,Easy,"Linked List,Recursion","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/reverse-linked-list/
middle-of-the-linked-list,Find Middle of Linked List,Find the middle node of the linked list,Easy,"Linked List,Two Pointers","Amazon,Microsoft,Facebook",https://leetcode.com/problems/middle-of-the-linked-list/
merge-two-sorted-lists,Merge Two Sorted Linked Lists,Merge two sorted linked lists into one sorted list,Easy,"Linked List,Recursion","Amazon,Microsoft,Google,Facebook,Apple,Adobe",https://leetcode.com/problems/merge-two-sorted-lists/
remove-nth-node-from-end-of-list,Remove N-th Node From End of List,Remove the nth node from the end of the list,Medium,"Linked List,Two Pointers","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/remove-nth-node-from-end-of-list/
add-two-numbers,Add Two Numbers as Linked Lists,Add two numbers represented as linked lists,Medium,"Linked List,Math,Recursion","Amazon,Microsoft,Google,Facebook,Adobe,Bloomberg",https://leetcode.com/problems/add-two-numbers/
delete-node-in-a-linked-list,Delete Node in a Linked List,Delete a node when only node reference is given,Medium,Linked List,"Amazon,Microsoft,Apple,Adobe",https://leetcode.com/problems/delete-node-in-a-linked-list/
intersection-of-two-linked-lists,Find Intersection Point of Y Linked List,Find the node at which two linked lists intersect,Easy,"Hash Table,Linked List,Two Pointers","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/intersection-of-two-linked-lists/
linked-list-cycle,Detect Cycle in Linked List,Detect if linked list has a cycle,Easy,"Hash Table,Linked List,Two Pointers","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/linked-list-cycle/
reverse-nodes-in-k-group,Reverse Linked List in Groups of K,Reverse nodes of linked list k at a time,Hard,"Linked List,Recursion","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/reverse-nodes-in-k-group/
palindrome-linked-list,Check if Linked List is Palindrome,Check if a linked list is a palindrome,Easy,"Linked List,Two Pointers,Stack,Recursion","Amazon,Microsoft,Facebook,Apple",https://leetcode.com/problems/palindrome-linked-list/
linked-list-cycle-ii,Find Starting Point of Loop in Linked List,Find the node where the cycle begins,Medium,"Hash Table,Linked List,Two Pointers","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/linked-list-cycle-ii/
flattening-a-linked-list,Flattening of a Linked List,Flatten a multilevel linked list,Medium,"Linked List,Depth-First Search,Doubly-Linked List","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/flattening-a-linked-list/
rotate-list,Rotate a Linked List,Rotate the list to the right by k places,Medium,"Linked List,Two Pointers","Amazon,Microsoft,Facebook",https://leetcode.com/problems/rotate-list/
copy-list-with-random-pointer,Clone Linked List with Random Pointer,Deep copy a linked list with random pointer,Medium,"Hash Table,Linked List","Amazon,Microsoft,Google,Facebook,Bloomberg",https://leetcode.com/problems/copy-list-with-random-pointer/
3sum,3 Sum,Find all unique triplets that sum to zero,Medium,"Array,Two Pointers,Sorting","Amazon,Microsoft,Google,Facebook,Adobe,Bloomberg",https://leetcode.com/problems/3sum/
trapping-rain-water,Trapping Rain Water,Compute how much water can be trapped after raining,Hard,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack","Amazon,Microsoft,Google,Facebook,Apple,Goldman Sachs",https://leetcode.com/problems/trapping-rain-water/
remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Remove duplicates in-place from sorted array,Easy,"Array,Two Pointers","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/remove-duplicates-from-sorted-array/
max-consecutive-ones,Max Consecutive Ones,Find the maximum number of consecutive 1s,Easy,Array,"Amazon,Google,Facebook",https://leetcode.com/problems/max-consecutive-ones/
n-meetings-in-one-room,N Meetings in One Room,Find maximum number of meetings in one room,Easy,"Greedy,Array,Sorting","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/find-maximum-meetings-in-one-room/
