slug,title,description,difficulty,categories,companyTags,externalPlatformUrl,solutionUrl
remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Modify a sorted array in-place to remove duplicates such that each unique element appears only once and return the new length.,Easy,"Array, Two Pointers","Amazon, Google",https://leetcode.com/problems/remove-duplicates-from-sorted-array/,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solutions/5540670/video-use-two-pointers-coding-exercise-b-7lap
set-matrix-zeroes,Set Matrix Zeroes,"If an element in a matrix is zero, set its entire row and column to zero.",Medium,"Array, Matrix","Microsoft, Amazon",https://leetcode.com/problems/remove-duplicates-from-sorted-array/,https://algo.monster/liteproblems/73
move-zeroes,Move Zeroes,Move all zeros to the end of an array while maintaining the relative order of the non-zero elements.,Easy,"Array, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/move-zeroes/,https://algo.monster/liteproblems/283
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Find the maximum profit from a single buy and sell transaction.,Easy,"Array, Dynamic Programming","Amazon, Google",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://youtu.be/bU_dXCOWHls
chocolate-distribution-problem,Chocolate Distribution Problem,Find the minimum difference between the maximum and minimum number of chocolates in a subset of packages of a given size.,Medium,"Array, Sorting, Sliding Window","Amazon, Microsoft",https://www.geeksforgeeks.org/problems/chocolate-distribution-problem3825/1,https://youtu.be/bU_dXCOWHls
two-sum,Two Sum,Find two numbers in an array that add up to a specific target.,Easy,"Array, Hash Table, Two Pointers","Amazon, Microsoft",https://leetcode.com/problems/two-sum/,https://www.geeksforgeeks.org/dsa/check-if-pair-with-given-sum-exists-in-array/
best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Find the maximum profit you can achieve by buying and selling stock multiple times.,Medium,"Greedy, Array, Dynamic Programming","Amazon, Google",https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,https://algo.monster/liteproblems/122
subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Determine the number of contiguous subarrays whose elements sum up to a value perfectly divisible by K.,Medium,"Array, Hash Table, Prefix Sum","Amazon, Google",https://leetcode.com/problems/subarray-sums-divisible-by-k/,https://leetcode.com/problems/subarray-sums-divisible-by-k/solutions/7487189/subarrays-divisible-by-k-prefix-sum-hash-xkj7/
find-all-duplicates-in-an-array,Find All Duplicates in an Array,"Given an array of integers, find all elements that appear twice in this array.",Medium,"Array, Hash Table, Two Pointers","Google, Amazon",https://leetcode.com/problems/find-all-duplicates-in-an-array/,https://leetcode.com/problems/find-all-duplicates-in-an-array/solutions/
container-with-most-water,Container With Most Water,Find the maximum amount of water that can be contained between two lines in an array representing heights.,Medium,"Array, Two Pointers, Greedy","Google, Facebook",https://leetcode.com/problems/container-with-most-water/,https://leetcode.com/problems/container-with-most-water/solutions/5139915/video-simple-two-pointer-solution-by-nii-9y0n/
three-sum,Three Sum,Find all unique triplets in the array which give the sum of zero.,Medium,"Array, Sorting, Two Pointers","Amazon, Facebook",https://leetcode.com/problems/3sum/,https://algomap.io/problems/3sum
four-sum,Four Sum,Find all unique quadruplets in an array that sum up to a target value.,Medium,"Array, Two Pointers, Sorting","Cognizant, Microsoft",https://leetcode.com/problems/4sum/,https://algo.monster/liteproblems/18
maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Find the maximum score achievable by taking exactly k cards from the beginning or end of a row of cards.,Medium,"Array, Sliding Window, Prefix Sum","Amazon, Google",https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/solutions/597825/simple-clean-intuitive-explanation-with-iivf4/
subarray-sum-equals-k,Subarray Sum Equals K,Find the total number of continuous subarrays that sum up to a specific integer k.,Medium,"Array, Hash Table, Prefix Sum","Google, Amazon",https://leetcode.com/problems/subarray-sum-equals-k/,https://youtu.be/rsDvhHiAe1E
spiral-matrix-array,Spiral Matrix,Traverse a matrix in a spiral order and return all elements in that order.,Hard,"Array, Matrix, Simulation","Google, Amazon",https://leetcode.com/problems/spiral-matrix/,https://leetcode.com/problems/spiral-matrix/solutions/7487622/clean-simple-beats-easy-to-understand-ef-yi2y
word-search,Word Search,Determine if a word can be constructed from letters of sequentially adjacent cells in a grid.,Medium,"Backtracking, Array, Matrix","Google, Amazon",https://leetcode.com/problems/word-search/,https://youtu.be/bU_dXCOWHls
merge-sorted-array,Merge Sorted Array,Merge two sorted arrays into a single sorted array.,Easy,"Array, Sorting, Two Pointers","Google, Amazon",https://leetcode.com/problems/merge-sorted-array/,https://leetcode.com/problems/merge-sorted-array/
jump-game,Jump Game,Determine if you can reach the last index starting from the first index in an array of non-negative integers where each element represents your maximum jump length.,Medium,"Array, Dynamic Programming, Greedy","Google, Microsoft",https://leetcode.com/problems/jump-game/description/,https://neetcode.io/solutions/jump-game
majority-element,Majority Element,Find the element that appears more than n/2 times in an array of size n.,Easy,"Array, Hash Table, Counting","Google, Amazon",https://leetcode.com/problems/majority-element/,https://youtu.be/sBuRjHqDTzY
reverse-pairs,Reverse Pairs,"Count the number of pairs (i, j) such that i < j and nums[i] > 2 * nums[j].",Hard,"Array, Divide and Conquer, Binary Indexed Tree","Google, Amazon",https://www.geeksforgeeks.org/dsa/find-the-count-of-reverse-pairs/,https://www.geeksforgeeks.org/dsa/find-the-count-of-reverse-pairs/
all-unique-permutations-of-an-array,All Unique Permutations of an array,Find all unique permutations of the elements in a given array.,Medium,"Backtracking, Array, Recursion","Google, Amazon",https://www.geeksforgeeks.org/dsa/print-all-permutations-of-a-string-with-duplicates-allowed-in-input-string/,https://www.geeksforgeeks.org/problems/all-unique-permutations-of-an-array/1
game-of-life,Game of Life,Implement Conway's Game of Life on a 2D board with rules for cell survival and reproduction.,Medium,"Array/Matrix, Dynamic Programming, Simulation","Google, Microsoft",https://leetcode.com/problems/game-of-life/,https://algo.monster/liteproblems/289
