slug,title,description,difficulty,categories,companyTags,externalPlatformUrl,solutionUrl
contains-duplicate,Contains Duplicate,Determine if any value appears at least twice in an array of integers.,"Hash Table, Array, Sorting","Array, Hash-Map, Set","Google, Amazon",https://leetcode.com/problems/contains-duplicate,https://algo.monster/liteproblems/217
valid-anagram,Valid Anagram,Determine if two strings are anagrams of each other.,"Hash Map, String, Sorting","Hash Map, String, Sorting","Google, Meta (Facebook)",https://leetcode.com/problems/valid-anagram,https://neetcode.io/solutions/valid-anagram
two-sum,Two Sum,Find two numbers in an array that add up to a specific target.,"Array, Hash Table","Array, Hash Table","Google, Amazon",https://leetcode.com/problems/two-sum,https://algo.monster/liteproblems/1
group-anagrams,Group Anagrams,"Given an array of strings, group the anagrams together.","Hash Table, Array, String","Hash Table, Array, String","Google, Amazon",https://leetcode.com/problems/group-anagrams,https://neetcode.io/solutions/group-anagrams
top-k-frequent-elements,Top K Frequent Elements,Find the K most frequent elements in a given array.,"Hash Table, Heap (Priority Queue)","Hash Table, Heap (Priority Queue)","Google, Amazon",https://leetcode.com/problems/top-k-frequent-elements,https://neetcode.io/solutions/top-k-frequent-elements?utm_source=chatgpt.com
encode-and-decode-strings,Encode and Decode Strings,Design an algorithm to encode a list of strings into a single string and then decode it back to the original list.,"Array, String, Design","Array, String, Design","Google, Facebook",https://leetcode.com/problems/encode-and-decode-strings,https://neetcode.io/solutions/encode-and-decode-strings?utm_source=chatgpt.com
product-of-array-except-self,Product of Array Except Self,"Given an array, return an array where each element is the product of all other elements in the original array.","Arrays, Prefix Sum/Products, Algorithms","Arrays, Prefix Sum/Products, Algorithms","Google, Amazon",https://leetcode.com/problems/product-of-array-except-self,https://neetcode.io/problems/product-of-array-except-self/solution
valid-sudoku,Valid Sudoku,"Determine if a 9x9 Sudoku board is valid based on three rules: rows, columns, and 3x3 sub-boxes must contain the digits 1-9 without repetition.","Arrays, Hash Table, Matrix","Arrays, Hash Table, Matrix","Amazon, Microsoft",https://leetcode.com/problems/valid-sudoku,https://neetcode.io/problems/valid-sudoku/solution
longest-consecutive-sequence,Longest Consecutive Sequence,Find the length of the longest consecutive elements sequence in an unsorted array of integers.,"Array, Hash Table, Union Find","Array, Hash Table, Union Find","Google, Amazon",https://leetcode.com/problems/longest-consecutive-sequence,https://neetcode.io/problems/longest-consecutive-sequence/solution
valid-palindrome,Valid Palindrome,"Determine if a given string is a palindrome, ignoring case and non-alphanumeric characters.","String, Two Pointers","String, Two Pointers","Google, Amazon",https://leetcode.com/problems/valid-palindrome,https://neetcode.io/problems/valid-palindrome/solution
two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Find two numbers in a sorted array that add up to a specific target number.,"Array, Two Pointers, Searching","Array, Two Pointers, Searching","Amazon, Google",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,https://neetcode.io/problems/two-sum-ii-input-array-is-sorted/solution
container-with-most-water,Container With Most Water,Find the maximum area of water that can be contained between two vertical lines in an array.,"Arrays, Two Pointers, Geometry","Arrays, Two Pointers, Geometry","Google, Amazon",https://leetcode.com/problems/container-with-most-water,https://neetcode.io/problems/container-with-most-water/solution
