slug,title,description,difficulty,categories,companyTags,externalPlatformUrl,solutionUrl
maximum-and-minimum-element-in-array,Maximum and Minimum Element in an Array,Find maximum and minimum elements in an array,Easy,Array,"Amazon,Microsoft,Google,Adobe,Cisco,Hike,VMWare,ABCO,Accolite,Snapdeal",https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/,
reverse-the-array,Reverse the Array,Reverse an array or string,Easy,Array,"Infosys,Moonfrog Labs",https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/,
maximum-subarray,Maximum Subarray (Kadane's Algorithm),Find the contiguous subarray with the largest sum,Medium,"Array,Dynamic Programming","Microsoft,Facebook",https://leetcode.com/problems/maximum-subarray/,
contains-duplicate,Contains Duplicate,Check if array contains any duplicates,Easy,"Array,Hash Table,Sorting",Amazon,https://leetcode.com/problems/contains-duplicate/,
chocolate-distribution-problem,Chocolate Distribution Problem,Distribute chocolates such that difference between max and min is minimized,Easy,"Array,Sorting",Amazon,https://www.geeksforgeeks.org/chocolate-distribution-problem/,
search-in-rotated-sorted-array,Search in Rotated Sorted Array,Search for a target value in a rotated sorted array,Medium,"Array,Binary Search","Amazon,Microsoft,Google,Adobe,D-E-Shaw,Flipkart,Hike,Intuit,MakeMyTrip,Paytm",https://leetcode.com/problems/search-in-rotated-sorted-array/,
next-permutation,Next Permutation,Find the next lexicographically greater permutation,Medium,"Array,Two Pointers","Uber,Goldman Sachs,Adobe",https://leetcode.com/problems/next-permutation/,
best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Find maximum profit from buying and selling stock,Easy,"Array,Dynamic Programming","Amazon,Microsoft,Google,D-E-Shaw,Directi,Flipkart,Goldman Sachs,Intuit,MakeMyTrip,Ola Cabs,Oracle,Paytm,Pubmatic,Quikr,Salesforce,Sapient,Swiggy,Walmart,Media.net",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
repeat-and-missing-number,Repeat and Missing Number Array,Find the repeating and missing number in an array,Medium,"Array,Hash Table,Math,Bit Manipulation",Amazon,https://www.interviewbit.com/problems/repeat-and-missing-number-array/,
kth-largest-element,Kth Largest Element in an Array,Find the kth largest element in an unsorted array,Medium,"Array,Divide and Conquer,Sorting,Heap,Quickselect","Amazon,Microsoft,Walmart,Adobe",https://leetcode.com/problems/kth-largest-element-in-an-array/,
trapping-rain-water,Trapping Rain Water,Calculate how much water can be trapped after raining,Hard,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",Samsung,https://leetcode.com/problems/trapping-rain-water/,
product-of-array-except-self,Product of Array Except Self,Return array where each element is product of all other elements,Medium,"Array,Prefix Sum","Amazon,Microsoft,Google,Facebook,Apple",https://leetcode.com/problems/product-of-array-except-self/,
find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Find the minimum element in a rotated sorted array,Medium,"Array,Binary Search","Amazon,Microsoft,Adobe,Morgan Stanley,Samsung,Snapdeal,Times Internet",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
find-pair-with-given-sum-in-sorted-rotated-array,Find Pair with Given Sum in Sorted & Rotated Array,Find if there exists a pair with given sum,Medium,"Array,Two Pointers","Microsoft,Google,Apple",https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/,
3sum,3Sum,Find all unique triplets that sum to zero,Medium,"Array,Two Pointers,Sorting","Amazon,Microsoft,Google,Facebook,Adobe,Bloomberg",https://leetcode.com/problems/3sum/,
container-with-most-water,Container With Most Water,Find two lines that together with x-axis forms a container with most water,Medium,"Array,Two Pointers,Greedy","Amazon,Google,Facebook,Bloomberg",https://leetcode.com/problems/container-with-most-water/,
3sum-closest,3Sum Closest,Find three integers whose sum is closest to target,Medium,"Array,Two Pointers,Sorting","Amazon,Bloomberg",https://leetcode.com/problems/3sum-closest/,
given-sum-pair-count,Given Sum Pair Count,Count pairs with given sum,Easy,"Array,Hash Table","Amazon,Accolite,MakeMyTrip",https://www.geeksforgeeks.org/count-pairs-with-given-sum/,
common-elements,Common Elements in Three Sorted Arrays,Find common elements in three sorted arrays,Easy,"Array,Hash Table,Two Pointers","Amazon,Microsoft,Google,Goldman Sachs",https://www.geeksforgeeks.org/find-common-elements-three-sorted-arrays/,
rearrange-array-alternately,Rearrange Array Alternately,Rearrange array in alternating positive and negative items,Medium,Array,"Amazon,Microsoft,MAQ Software,Adobe",https://www.geeksforgeeks.org/rearrange-array-alternating-positive-negative-items-o1-extra-space/,
subarray-sum-equals-k,Subarray Sum Equals K,Find total number of continuous subarrays whose sum equals to k,Medium,"Array,Hash Table,Prefix Sum","Amazon,Microsoft,Google,Facebook",https://leetcode.com/problems/subarray-sum-equals-k/,
factorials-of-large-numbers,Factorials of Large Numbers,Calculate factorial of large numbers,Medium,"Array,Math","Amazon,Paytm,Accolite",https://www.geeksforgeeks.org/factorial-large-number/,
max-product-subarray,Maximum Product Subarray,Find the contiguous subarray with the largest product,Medium,"Array,Dynamic Programming","Amazon,Microsoft,Google,LinkedIn",https://leetcode.com/problems/maximum-product-subarray/,
longest-consecutive-subsequence,Longest Consecutive Subsequence,Find length of longest consecutive elements sequence,Medium,"Array,Hash Table,Union Find","Amazon,Microsoft,Google,Facebook,Flipkart",https://leetcode.com/problems/longest-consecutive-sequence/,
array-subset-of-another-array,Array Subset of Another Array,Check if array is subset of another array,Easy,"Array,Hash Table","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/find-whether-an-array-is-subset-of-another-array-set-1/,
triplet-sum-in-array,Triplet Sum in Array,Find if there exists a triplet with given sum,Medium,"Array,Two Pointers,Sorting","Amazon,Microsoft,MAQ Software",https://www.geeksforgeeks.org/find-a-triplet-that-sum-to-a-given-value/,
stickler-thief,Stickler Thief (House Robber),Maximum sum such that no two elements are adjacent,Easy,"Array,Dynamic Programming","Amazon,Microsoft,Adobe",https://www.geeksforgeeks.org/find-maximum-possible-stolen-value-houses/,
smallest-subarray-with-sum-greater-than-x,Smallest Subarray with Sum Greater Than X,Find smallest subarray with sum greater than given value,Medium,"Array,Sliding Window","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/minimum-length-subarray-sum-greater-given-value/,
find-all-pairs-with-given-sum,Find All Pairs with a Given Sum,Find all pairs of elements with given sum,Easy,"Array,Hash Table","Amazon,Microsoft",https://www.geeksforgeeks.org/count-pairs-with-given-sum/,
four-sum,4Sum,Find all unique quadruplets that sum to target,Medium,"Array,Two Pointers,Sorting","Amazon,Microsoft,Facebook",https://leetcode.com/problems/4sum/,
merge-intervals,Merge Intervals,Merge all overlapping intervals,Medium,"Array,Sorting","Amazon,Microsoft,Google,Facebook,LinkedIn",https://leetcode.com/problems/merge-intervals/,
next-greater-element,Next Greater Element,Find next greater element for each element,Medium,"Array,Stack,Monotonic Stack","Amazon,Google,Flipkart",https://leetcode.com/problems/next-greater-element-i/,
level-of-nodes,Level of Nodes,Find level of each node in binary tree,Medium,"Array,Tree,Breadth-First Search",Amazon,https://www.geeksforgeeks.org/get-level-of-a-node-in-a-binary-tree/,
reverse-array-in-groups,Reverse Array in Groups,Reverse every sub-array of group k,Easy,Array,"Amazon,Microsoft,Accolite",https://www.geeksforgeeks.org/reverse-an-array-in-groups-of-given-size/,
k-th-element-in-matrix,K-th Element in Matrix,Find kth smallest element in row-column wise sorted matrix,Medium,"Array,Binary Search,Matrix,Sorting,Heap","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/kth-smallest-element-in-a-row-wise-and-column-wise-sorted-2d-array-set-1/,
spirally-traversing-a-matrix,Spirally Traversing a Matrix,Print matrix in spiral form,Medium,"Array,Matrix,Simulation","Amazon,Microsoft,Google,Facebook,Adobe",https://leetcode.com/problems/spiral-matrix/,
largest-number-formed-from-array,Largest Number Formed from Array,Arrange numbers to form the largest number,Medium,"Array,String,Greedy,Sorting","Amazon,Microsoft,Google,Adobe",https://leetcode.com/problems/largest-number/,
first-repeating-element,First Repeating Element,Find first repeating element in an array,Easy,"Array,Hash Table","Amazon,Accolite,MakeMyTrip",https://www.geeksforgeeks.org/find-first-repeating-element-array-integers/,
first-non-repeating-element,First Non-Repeating Element,Find first non-repeating element in array,Easy,"Array,Hash Table","Amazon,Accolite",https://www.geeksforgeeks.org/non-repeating-element/,
top-k-frequent-elements,Top K Frequent Elements,Find k most frequent elements in array,Medium,"Array,Hash Table,Divide and Conquer,Sorting,Heap,Bucket Sort,Counting,Quickselect","Amazon,Microsoft,Google,Facebook,Yelp",https://leetcode.com/problems/top-k-frequent-elements/,
sort-by-frequency,Sorting Elements of an Array by Frequency,Sort array elements by frequency,Medium,"Array,Hash Table,Sorting","Amazon,Microsoft,Accolite,Adobe",https://www.geeksforgeeks.org/sort-elements-by-frequency/,
minimum-swaps-to-sort,Minimum Swaps to Sort,Find minimum number of swaps required to sort array,Medium,"Array,Graph,Sorting","Amazon,Microsoft,Google",https://www.geeksforgeeks.org/minimum-number-swaps-required-sort-array/,
count-distinct-elements,Count Distinct Elements in Every Window,Count distinct elements in every window of size k,Easy,"Array,Hash Table,Sliding Window","Amazon,Google",https://www.geeksforgeeks.org/count-distinct-elements-in-every-window-of-size-k/,
smallest-positive-missing-number,Smallest Positive Missing Number,Find the smallest positive integer missing from array,Medium,"Array,Hash Table","Amazon,Microsoft,Accolite,D-E-Shaw,Hike,Lybrate,Mahindra Comviva,MakeMyTrip,MAQ Software,OYO Rooms,Paytm,Qualcomm,Samsung,SAP Labs,Snapdeal,Veritas,VMWare,Walmart,Adobe",https://leetcode.com/problems/first-missing-positive/,
rearrange-positive-negative,Rearrange Positive and Negative Numbers,Rearrange array in alternating positive & negative items,Medium,"Array,Two Pointers","Amazon,Microsoft,Accolite,Adobe",https://www.geeksforgeeks.org/rearrange-array-alternating-positive-negative-items-o1-extra-space/,
find-duplicates-in-array,Find All Duplicates in an Array,Find all elements that appear twice,Medium,"Array,Hash Table","Amazon,Microsoft,Google,Pocket Gems",https://leetcode.com/problems/find-all-duplicates-in-an-array/,
zero-sum-subarrays,Zero Sum Subarrays,Count subarrays with sum equals to 0,Medium,"Array,Hash Table","Amazon,Flipkart",https://www.geeksforgeeks.org/print-all-subarrays-with-0-sum/,
longest-subarray-with-sum-k,Longest Sub-Array with Sum K,Find length of longest subarray with sum k,Easy,"Array,Hash Table","Amazon,Flipkart,Microsoft",https://www.geeksforgeeks.org/longest-sub-array-sum-k/,
